                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1879,                 1.3806,                 1.2279,                0.65131,                0.54865,                0.61602,                0.45533,                 1.0847,                 1.1173,                 1.1252,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1374,                 1.3741,                 1.2033,                0.66205,                0.58203,                0.62568,                0.46249,                 1.0763,                 1.0925,                 1.1176,             1.6083e-05,             1.6083e-05,             1.6083e-05
                      3,                 1.1854,                 1.2943,                 1.2134,                0.67669,                0.57568,                0.63393,                0.47224,                 1.0716,                 1.0764,                 1.1145,             2.1951e-05,             2.1951e-05,             2.1951e-05
                      4,                  1.157,                 1.2862,                 1.2126,                0.72353,                0.57078,                0.65029,                0.48338,                 1.0603,                 1.0507,                 1.1065,             2.5934e-05,             2.5934e-05,             2.5934e-05
                      5,                 1.1216,                 1.2285,                 1.1738,                0.71122,                0.58627,                0.66156,                0.49218,                 1.0541,                 1.0304,                 1.1021,             2.8032e-05,             2.8032e-05,             2.8032e-05
                      6,                 1.1557,                 1.2463,                 1.1966,                0.69726,                0.61904,                0.67697,                0.50396,                 1.0486,                 1.0095,                 1.0974,             2.8245e-05,             2.8245e-05,             2.8245e-05
                      7,                 1.1134,                 1.1936,                 1.1592,                 0.7223,                0.62718,                0.68322,                0.51196,                 1.0445,                0.99669,                 1.0954,             2.6573e-05,             2.6573e-05,             2.6573e-05
                      8,                 1.1084,                 1.1973,                 1.1597,                0.72565,                0.63446,                0.68796,                0.51622,                 1.0383,                0.98487,                 1.0911,             2.3016e-05,             2.3016e-05,             2.3016e-05
                      9,                 1.0822,                 1.1271,                  1.159,                0.72371,                0.63148,                 0.6976,                 0.5232,                 1.0333,                0.97228,                 1.0885,             1.7574e-05,             1.7574e-05,             1.7574e-05
                     10,                 1.1006,                 1.1232,                  1.152,                 0.7205,                0.63178,                0.70046,                0.52458,                  1.031,                0.96874,                 1.0873,             1.0247e-05,             1.0247e-05,             1.0247e-05
